Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir
MERCEDES,Classe C Coupé 2016,250 d DCT AMG line +,400.000 DH,2016.0,Seconde,68.000 km,Diesel,Automatique,9 cv,Gris,Excellent,auto. Bi-zone,Electrique AV,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2017,220 d AMG line,365.000 DH,2017.0,Première,108.000 km,Diesel,Automatique,8 cv,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2006,220 CDI,85.000 DH,2006.0,Première,350.000 km,Diesel,Manuelle,9 cv,Gris clair,Très bon,auto.,Electrique AV/AR,Conducteur et Passager,non,non,oui,non,non,oui,non,oui,non,non,non,non,non,oui,non,non,non,Rigide,oui,oui,non,non,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCEDES,Citan 2012,Autre version,230.000 DH,2012.0,Seconde,140.000 km,Diesel,Manuelle,9 cv,Bleu,Excellent,manuelle,Electrique AV,non,non,non,non,non,oui,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,oui,non,non,non,,,,,,
MERCEDES,Classe C 2007,220 CDI,135.000 DH,2007.0,Seconde,157.000 km,Diesel,Manuelle,9 cv,Bleu foncé,Excellent,auto.,Electrique AV/AR,non,oui,non,non,non,oui,non,oui,non,non,oui,non,non,oui,oui,non,non,non,Rigide,oui,oui,oui,non,,,,,,
MERCEDES,Classe C 2009,200 d Avantgarde +,140.000 DH VENDUE,2009.0,Seconde,2.260.000 km,Diesel,Automatique,6 cv,Blanc,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe A 2013,220 d DCT AMG line,120.000 DH VENDUE,2013.0,Seconde,17.978 km,Diesel,Automatique,9 cv,Gris,Comme neuve,auto.,Electrique AV/AR,Conducteur,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E Coupé 2011,220 d DCT Avantgarde,190.000 DH VENDUE,2011.0,Première,146.000 km,Diesel,Manuelle,8 cv,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,oui,non,oui,oui,non,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2018,220 d AMG line,580.000 DH VENDUE,2018.0,Première,21.000 km,Diesel,Automatique,8 cv,Gris clair,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
